receptor,metric,fraction,count,mean_best_docking_score
5ht1b,ALL,,94,-12.413830
5ht1b,TOP_20,0.20,19,-13.542105
5ht1b,TOP_10,0.10,10,-13.790000
5ht1b,TOP_05,0.05,5,-13.960000
braf,ALL,,90,-11.695556
braf,TOP_20,0.20,18,-12.761111
braf,TOP_10,0.10,9,-12.955556
braf,TOP_05,0.05,5,-13.120000
fa7,ALL,,95,-9.805263
fa7,TOP_20,0.20,19,-10.600000
fa7,TOP_10,0.10,10,-10.760000
fa7,TOP_05,0.05,5,-10.940000
jak2,ALL,,90,-10.974444
jak2,TOP_20,0.20,18,-12.127778
jak2,TOP_10,0.10,9,-12.422222
jak2,TOP_05,0.05,5,-12.700000
parp1,ALL,,96,-12.296875
parp1,TOP_20,0.20,20,-13.450000
parp1,TOP_10,0.10,10,-13.750000
parp1,TOP_05,0.05,5,-13.980000
